Label,Id
LARCENY/THEFT,349598
ASSAULT,766313
OTHER OFFENSES,169887
WEAPON LAWS,594704
LARCENY/THEFT,47900
NON-CRIMINAL,339260
ASSAULT,169575
VEHICLE THEFT,681483
FORGERY/COUNTERFEITING,276938
VANDALISM,146369
LARCENY/THEFT,781784
SECONDARY CODES,120988
VEHICLE THEFT,217247
MISSING PERSON,713662
LARCENY/THEFT,861939
LARCENY/THEFT,169165
WARRANTS,2501
LARCENY/THEFT,436649
DRUG/NARCOTIC,858998
ASSAULT,98462
LARCENY/THEFT,385043
MISSING PERSON,528564
BURGLARY,265716
WARRANTS,492619
SUSPICIOUS OCC,649577
VEHICLE THEFT,454436
OTHER OFFENSES,759148
ASSAULT,505016
FRAUD,637727
OTHER OFFENSES,518082
FRAUD,714212
DRUG/NARCOTIC,691893
VANDALISM,306954
MISSING PERSON,237830
OTHER OFFENSES,102598
SECONDARY CODES,315210
VANDALISM,94122
LARCENY/THEFT,196861
VANDALISM,195341
OTHER OFFENSES,772582
ARSON,282136
ASSAULT,288078
LARCENY/THEFT,553490
LARCENY/THEFT,837228
BURGLARY,691604
SECONDARY CODES,808942
NON-CRIMINAL,818875
ASSAULT,253254
OTHER OFFENSES,108627
NON-CRIMINAL,247632
OTHER OFFENSES,760848
DRUG/NARCOTIC,565473
LARCENY/THEFT,61769
BURGLARY,530439
BURGLARY,299196
LARCENY/THEFT,542499
VEHICLE THEFT,770637
NON-CRIMINAL,241647
LARCENY/THEFT,122633
NON-CRIMINAL,197444
ROBBERY,591608
LARCENY/THEFT,87842
NON-CRIMINAL,431989
VEHICLE THEFT,849346
VEHICLE THEFT,481961
ASSAULT,304339
VANDALISM,185975
OTHER OFFENSES,815732
ASSAULT,311837
VEHICLE THEFT,644975
MISSING PERSON,106388
LARCENY/THEFT,636968
VANDALISM,147480
LARCENY/THEFT,156143
VANDALISM,571323
VANDALISM,341791
SUSPICIOUS OCC,108277
LARCENY/THEFT,208148
OTHER OFFENSES,232394
SECONDARY CODES,325850
FORGERY/COUNTERFEITING,287185
MISSING PERSON,678033
WARRANTS,103679
LARCENY/THEFT,136101
NON-CRIMINAL,674344
MISSING PERSON,577203
OTHER OFFENSES,367765
NON-CRIMINAL,75664
MISSING PERSON,604914
BURGLARY,698113
BURGLARY,558314
PROSTITUTION,502914
SUSPICIOUS OCC,295786
LARCENY/THEFT,407698
VEHICLE THEFT,232921
VANDALISM,91383
OTHER OFFENSES,106219
ASSAULT,183007
DISORDERLY CONDUCT,839519
SUSPICIOUS OCC,215112
OTHER OFFENSES,432544
LARCENY/THEFT,151147
OTHER OFFENSES,195406
OTHER OFFENSES,391229
LARCENY/THEFT,204025
NON-CRIMINAL,16038
LARCENY/THEFT,825482
OTHER OFFENSES,435889
NON-CRIMINAL,15980
LARCENY/THEFT,812616
DRUG/NARCOTIC,874692
LARCENY/THEFT,23563
LARCENY/THEFT,264587
LARCENY/THEFT,178381
OTHER OFFENSES,96121
BURGLARY,710743
VEHICLE THEFT,720258
OTHER OFFENSES,600131
NON-CRIMINAL,117356
BAD CHECKS,546855
VEHICLE THEFT,540567
BURGLARY,175889
WARRANTS,233133
ASSAULT,107153
ASSAULT,826904
NON-CRIMINAL,79754
ASSAULT,7830
SEX OFFENSES FORCIBLE,807131
VEHICLE THEFT,173381
VEHICLE THEFT,764485
